City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
188,byron bay,AU,73.4,broken clouds,-28.65,153.62,Backpackers Inn on the Beach
190,cervo,ES,51.01,broken clouds,43.67,-7.41,Hotel Spa Galatea
193,avera,US,59.0,clear sky,33.19,-82.53,
194,karpathos,GR,60.8,clear sky,35.51,27.21,Alex
196,kutum,SD,68.16,clear sky,14.2,24.67,Dibbo areaمنطقة دبو
197,christchurch,NZ,57.0,clear sky,-43.53,172.63,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
199,wadi maliz,TN,51.8,light rain,36.47,8.55,HOPITAL
200,thai nguyen,VN,55.4,clear sky,21.59,105.84,Đông Dương Hotel
203,flinders,AU,69.8,scattered clouds,-34.58,150.86,Shellharbour Resort & Conference Centre
204,saint-denis,FR,43.0,overcast clouds,48.92,2.33,Appart'City Paris Clichy Mairie - Appart Hôtel
210,guerrero negro,MX,70.99,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
212,mbandaka,CD,73.29,moderate rain,0.05,18.26,Guest House Epervier
215,mount gambier,AU,51.8,broken clouds,-37.83,140.77,Commodore on the Park
216,qui nhon,VN,69.4,light rain,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
217,ponta do sol,PT,59.0,scattered clouds,32.67,-17.1,Hotel do Campo
219,bandarbeyla,SO,75.94,clear sky,9.49,50.81,JABIR HOTEL
221,lebu,CL,60.24,clear sky,-37.62,-73.65,Hostal Las Lilas
222,ucluelet,CA,53.6,broken clouds,48.93,-125.55,Black Rock Oceanfront Resort
223,victoria,HK,63.0,clear sky,22.29,114.16,Mini Hotel Central
225,khairpur,PK,62.6,haze,27.53,68.76,Khaskheli house Wafa Fida
227,hamilton,US,46.0,scattered clouds,39.18,-84.53,Six Acres Bed & Breakfast
228,la ronge,CA,41.0,scattered clouds,55.1,-105.28,Northland Motor Hotel
229,esperance,AU,51.8,overcast clouds,-33.87,121.9,Hospitality Esperance
232,pangkalanbuun,ID,74.86,overcast clouds,-2.68,111.62,Grand Kecubung Hotel
233,myrtle beach,US,61.0,clear sky,33.69,-78.89,Bay View Resort Myrtle Beach
240,forbes,AU,61.0,clear sky,-33.38,148.02,Lake Forbes Motel
244,chinchani,IN,75.25,broken clouds,19.87,72.7,Vasantshrushti Farm
246,sabha,LY,63.7,clear sky,27.04,14.43,محطة ام الارانب -سبها مواصلات
247,myrtle grove,US,61.0,few clouds,30.42,-87.31,Holiday Inn Express & Suites Pensacola West-Navy Base
248,sao jose,BR,55.99,overcast clouds,-28.23,-49.17,Hospedaria kassiane
249,sirpur,IN,62.4,clear sky,19.48,79.6,Siddharth Hotel
250,jefferson city,US,55.99,clear sky,38.58,-92.17,DoubleTree by Hilton Hotel Jefferson City
251,buraydah,SA,68.0,mist,26.33,43.98,Mövenpick Hotel Qassim
253,hare bay,CA,50.0,overcast clouds,48.85,-54.01,
254,pahrump,US,55.0,clear sky,36.21,-115.98,Best Western Pahrump Oasis
256,karacabey,TR,51.8,clear sky,40.22,28.4,Uludağ Üniversitesi Sadık Yılmaz Öğrenci Yurdu
257,ketchikan,US,48.2,heavy intensity rain,55.34,-131.65,Snows Cove Lodge
260,ponta delgada,PT,57.2,scattered clouds,37.73,-25.67,Vila Nova Hotel
264,lingao,CN,63.79,broken clouds,19.91,109.69,Lingao Ditai Inn
265,longonjo,AO,64.26,broken clouds,-12.91,15.25,
268,abu samrah,SY,53.65,few clouds,35.3,37.18,
269,shahdadkot,PK,68.09,clear sky,27.85,67.91,Syed Dopasi inn khosa street shahdadkot
271,vila franca do campo,PT,57.2,scattered clouds,37.72,-25.43,Pestana Bahia Praia
272,gillette,US,50.0,clear sky,44.29,-105.5,National 9 Inn - Gillette WY
275,wladyslawowo,PL,46.99,clear sky,54.79,18.4,Gwiazda Morza Resort SPA&SPORT
278,maarianhamina,AX,46.4,overcast clouds,60.1,19.93,Park Alandia Hotel
279,juneau,US,42.8,moderate rain,58.3,-134.42,"Baranof Downtown, BW Signature Collection"
280,plettenberg bay,ZA,65.64,scattered clouds,-34.05,23.37,Thanda Vista B&B
295,grand gaube,MU,75.0,scattered clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
296,harqalah,TN,59.0,scattered clouds,36.03,10.51,Dar Khadija
297,worthington,US,42.01,broken clouds,40.09,-83.02,Sheraton Suites Columbus Worthington
300,manhattan,US,46.0,overcast clouds,40.78,-73.97,Hotel Pennsylvania
302,ordu,TR,48.2,scattered clouds,40.91,37.68,Orencik Koyu Muhtarligi
304,namibe,AO,66.67,overcast clouds,-15.2,12.15,Hotel Chik Chik Namibe
308,udayagiri,IN,57.9,scattered clouds,20.13,84.38,Balaram panda
309,san quintin,MX,68.65,clear sky,30.48,-115.95,Old Mill Hotel
310,longyan,CN,47.7,clear sky,25.11,117.02,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
312,victor harbor,AU,55.99,scattered clouds,-35.57,138.62,Apollon Motor Inn
317,hirara,JP,72.63,overcast clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
319,los llanos de aridane,ES,66.2,scattered clouds,28.66,-17.92,Valle Aridane
322,carnarvon,AU,69.8,overcast clouds,-24.87,113.63,Hospitality Carnarvon
336,ferrol,ES,50.0,scattered clouds,43.48,-8.24,Carrís Almirante
337,richards bay,ZA,69.87,scattered clouds,-28.78,32.04,BON Hotel Waterfront Richards Bay
340,muros,ES,45.0,clear sky,42.78,-9.06,Apartment Av. Castelao
341,lompoc,US,66.0,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
342,barcelos,PT,44.6,broken clouds,41.54,-8.62,Hotel Do Terço
343,menongue,AO,68.25,clear sky,-14.66,17.69,Ritz Lauca
352,algeciras,ES,51.8,few clouds,36.13,-5.45,AC Hotel by Marriott Algeciras
353,mozelos,PT,46.0,scattered clouds,41.87,-8.4,Casa do Rio Vez - Alojamento de Charme
355,saldanha,ZA,75.2,clear sky,-33.01,17.94,Blue Bay Lodge
358,eureka,US,60.01,clear sky,40.8,-124.16,Eureka Inn Trademark By Wyndham
359,chunian,PK,61.11,scattered clouds,30.96,73.98,Mitho Teeqia Wala
360,iranshahr,IR,64.4,clear sky,27.2,60.68,پانسیون پزشکان متخصص خاتم
363,laguna,US,60.01,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
367,riyadh,SA,75.2,clear sky,24.69,46.72,InterContinental Riyadh
368,kruisfontein,ZA,66.0,scattered clouds,-34.0,24.73,Oyster Bay House Rental
369,yellandu,IN,66.09,clear sky,17.6,80.33,Chekuri Satyanarayana
372,alicia,PH,73.81,overcast clouds,16.78,121.7,Nick Hotel
377,feni,BD,64.09,clear sky,23.02,91.41,"Best Inn Hotel, Restaurant, Convention"
380,waharoa,NZ,63.0,clear sky,-37.77,175.77,Broadway Motel & Miro Court Villas
382,faya,SA,60.8,clear sky,18.39,42.45,مقبرة ال مجمل
383,tuatapere,NZ,52.0,broken clouds,-46.13,167.68,Ron and Tony's Bed & Breakfast
387,banjarmasin,ID,73.4,overcast clouds,-3.32,114.59,Swiss-Belhotel Borneo Banjarmasin
