City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
63,fortuna,US,2020-12-05 19:18:51,40.6,-124.16,60.01,52,100,4.0,overcast clouds
64,nemuro,JP,2020-12-05 19:18:33,43.32,145.57,36.66,80,19,10.63,few clouds
65,sitka,US,2020-12-05 19:18:51,57.05,-135.33,48.2,70,90,5.82,moderate rain
66,hobart,AU,2020-12-05 19:14:36,-42.88,147.33,57.2,62,40,14.99,light rain
67,constitucion,CL,2020-12-05 19:18:51,-35.33,-72.42,65.28,63,14,5.64,few clouds
68,airai,TL,2020-12-05 19:18:51,-8.93,125.41,62.24,100,100,2.84,overcast clouds
69,dingle,PH,2020-12-05 19:18:51,11.0,122.67,75.78,91,5,5.41,light rain
70,gwadar,PK,2020-12-05 19:18:51,25.12,62.33,76.82,53,0,4.63,clear sky
71,port elizabeth,ZA,2020-12-05 19:18:51,-33.92,25.57,66.2,88,0,18.34,clear sky
72,taoudenni,ML,2020-12-05 19:18:51,22.68,-3.98,70.77,30,72,9.55,broken clouds
73,vryburg,ZA,2020-12-05 19:18:51,-26.96,24.73,71.89,57,3,10.29,clear sky
74,iqaluit,CA,2020-12-05 19:16:47,63.75,-68.51,15.8,85,75,14.99,broken clouds
75,villeneuve-sur-lot,FR,2020-12-05 19:18:52,44.5,0.67,44.6,87,90,4.7,overcast clouds
76,atar,MR,2020-12-05 19:18:52,20.52,-13.05,74.7,29,100,10.4,overcast clouds
77,hasaki,JP,2020-12-05 19:18:52,35.73,140.83,43.0,100,75,4.7,broken clouds
78,yerbogachen,RU,2020-12-05 19:18:52,61.28,108.01,9.81,94,100,15.99,light snow
79,rio grande,BR,2020-12-05 19:18:52,-32.03,-52.1,69.8,49,0,11.41,clear sky
80,deputatskiy,RU,2020-12-05 19:18:52,69.3,139.9,-16.46,89,97,3.62,overcast clouds
81,saumur,FR,2020-12-05 19:18:52,47.33,-0.25,43.0,93,75,2.24,broken clouds
82,saint-philippe,RE,2020-12-05 19:18:52,-21.36,55.77,77.0,65,0,3.36,clear sky
83,aloleng,PH,2020-12-05 19:18:52,16.13,119.78,79.77,86,21,10.22,few clouds
84,sorland,NO,2020-12-05 19:18:52,67.67,12.69,36.01,83,100,24.83,overcast clouds
85,kapaa,US,2020-12-05 19:14:23,22.08,-159.32,75.2,88,40,4.7,scattered clouds
86,yulara,AU,2020-12-05 19:18:52,-25.24,130.99,80.6,28,99,12.75,overcast clouds
87,lac du bonnet,CA,2020-12-05 19:18:53,50.25,-96.06,34.0,92,100,6.93,overcast clouds
88,vardo,NO,2020-12-05 19:18:53,70.37,31.11,34.2,90,100,27.0,overcast clouds
89,karratha,AU,2020-12-05 19:18:53,-20.74,116.85,84.16,62,1,5.77,clear sky
90,lakes entrance,AU,2020-12-05 19:18:53,-37.88,147.98,60.01,66,52,1.99,broken clouds
91,albany,US,2020-12-05 19:18:53,42.6,-73.97,37.99,79,100,12.48,overcast clouds
92,lithakia,GR,2020-12-05 19:18:53,37.72,20.83,60.8,77,40,10.29,scattered clouds
93,muli,MV,2020-12-05 19:18:53,2.92,73.57,82.65,76,53,13.47,broken clouds
94,marystown,CA,2020-12-05 19:18:53,47.17,-55.15,47.7,88,69,10.2,broken clouds
95,mbanza-ngungu,CD,2020-12-05 19:18:53,-5.25,14.87,70.09,93,100,2.28,overcast clouds
96,esil,KZ,2020-12-05 19:18:53,51.96,66.4,-0.62,91,0,5.97,clear sky
97,kurilsk,RU,2020-12-05 19:18:53,45.23,147.88,34.21,86,98,22.93,overcast clouds
98,mar del plata,AR,2020-12-05 19:16:43,-38.0,-57.56,60.8,55,20,12.75,few clouds
99,north platte,US,2020-12-05 19:14:14,41.12,-100.77,55.4,30,1,17.22,clear sky
100,staicele,LV,2020-12-05 19:18:54,57.84,24.75,36.0,91,100,7.0,overcast clouds
101,oranjestad,AW,2020-12-05 19:18:54,12.52,-70.03,84.2,79,40,14.99,scattered clouds
102,skjervoy,NO,2020-12-05 19:18:54,70.03,20.97,36.77,79,96,34.96,light rain
103,cabo san lucas,MX,2020-12-05 19:18:54,22.89,-109.91,75.0,40,5,5.82,clear sky
104,aklavik,CA,2020-12-05 19:18:54,68.22,-135.01,-22.0,74,20,2.24,few clouds
105,ipixuna,BR,2020-12-05 19:18:54,-1.76,-48.8,84.2,79,75,8.05,moderate rain
106,brezovo,BG,2020-12-05 19:18:54,42.35,25.08,46.99,100,90,4.7,mist
107,saskylakh,RU,2020-12-05 19:18:54,71.92,114.08,5.05,93,100,17.11,light snow
108,virginia beach,US,2020-12-05 19:18:54,36.85,-75.98,54.0,55,6,5.01,clear sky
109,chokurdakh,RU,2020-12-05 19:18:54,70.63,147.92,-29.49,83,41,7.56,scattered clouds
110,mayo,US,2020-12-05 19:18:54,38.89,-76.51,48.0,61,90,17.22,overcast clouds
111,hilo,US,2020-12-05 19:18:54,19.73,-155.09,73.0,73,1,4.7,clear sky
112,belyye berega,RU,2020-12-05 19:18:55,53.21,34.66,19.8,89,0,7.94,clear sky
113,cururupu,BR,2020-12-05 19:14:42,-1.83,-44.87,83.62,70,100,8.52,overcast clouds
114,rehoboth,NA,2020-12-05 19:18:55,-23.32,17.08,69.91,33,0,10.16,clear sky
115,nikolskoye,RU,2020-12-05 19:18:55,59.7,30.79,35.6,86,90,11.18,overcast clouds
116,belle glade,US,2020-12-05 19:18:55,26.68,-80.67,82.0,70,33,1.99,scattered clouds
117,alofi,NU,2020-12-05 19:18:55,-19.06,-169.92,78.8,94,98,3.36,overcast clouds
118,barahona,DO,2020-12-05 19:18:55,18.21,-71.1,86.0,66,20,13.87,few clouds
119,upernavik,GL,2020-12-05 19:18:55,72.79,-56.15,6.85,91,100,14.18,overcast clouds
120,mangaratiba,BR,2020-12-05 19:14:19,-22.96,-44.04,78.8,78,90,17.22,moderate rain
121,cherskiy,RU,2020-12-05 19:18:55,68.75,161.3,-9.47,81,5,3.49,clear sky
122,bay city,US,2020-12-05 19:18:55,43.59,-83.89,36.0,55,1,4.7,clear sky
123,kalaleh,IR,2020-12-05 19:18:55,37.38,55.49,48.2,81,40,2.89,scattered clouds
124,torbay,CA,2020-12-05 19:18:55,47.67,-52.73,51.01,93,75,17.22,light intensity drizzle
125,marsh harbour,BS,2020-12-05 19:18:55,26.54,-77.06,76.14,69,96,8.57,overcast clouds
126,hamadan,IR,2020-12-05 19:18:55,34.8,48.51,39.06,80,100,5.77,overcast clouds
127,axim,GH,2020-12-05 19:18:56,4.87,-2.24,79.25,82,100,6.73,overcast clouds
128,luderitz,NA,2020-12-05 19:18:56,-26.65,15.16,61.25,85,0,13.53,clear sky
129,cape town,ZA,2020-12-05 19:18:56,-33.93,18.42,69.8,60,0,13.87,clear sky
130,ostrovnoy,RU,2020-12-05 19:18:56,68.05,39.51,32.97,94,100,23.85,light snow
131,ahipara,NZ,2020-12-05 19:18:56,-35.17,173.17,62.94,81,19,9.73,few clouds
132,mitsamiouli,KM,2020-12-05 19:18:56,-11.38,43.28,82.2,68,2,4.52,clear sky
133,aswan,EG,2020-12-05 19:18:56,24.09,32.91,64.31,27,0,8.88,clear sky
134,padang,ID,2020-12-05 19:18:56,-0.95,100.35,77.92,78,92,3.74,overcast clouds
135,rio gallegos,AR,2020-12-05 19:15:13,-51.62,-69.22,69.8,37,0,21.92,clear sky
136,ust-barguzin,RU,2020-12-05 19:18:56,53.45,108.98,12.04,92,99,7.02,light snow
137,mackay,AU,2020-12-05 19:15:57,-21.15,149.2,72.0,88,90,5.82,overcast clouds
138,hami,CN,2020-12-05 19:18:56,42.8,93.45,18.91,82,46,5.57,scattered clouds
139,novikovo,RU,2020-12-05 19:18:56,51.15,37.89,22.21,78,0,9.28,clear sky
140,puerto ayora,EC,2020-12-05 19:18:56,-0.74,-90.35,80.6,61,0,17.22,clear sky
141,kutno,PL,2020-12-05 19:18:56,52.23,19.36,48.99,70,0,9.17,clear sky
142,geraldton,AU,2020-12-05 19:18:57,-28.77,114.6,59.0,77,0,12.75,clear sky
143,rawson,AR,2020-12-05 19:18:57,-43.3,-65.1,75.29,26,0,16.26,clear sky
144,port alfred,ZA,2020-12-05 19:18:57,-33.59,26.89,67.82,85,58,21.12,broken clouds
145,nabire,ID,2020-12-05 19:16:13,-3.37,135.48,76.48,93,100,3.76,heavy intensity rain
146,kaitangata,NZ,2020-12-05 19:18:57,-46.28,169.85,46.45,79,36,2.91,scattered clouds
147,kondinskoye,RU,2020-12-05 19:18:57,59.65,67.41,11.03,95,0,7.78,clear sky
148,anadyr,RU,2020-12-05 19:18:57,64.75,177.48,26.6,79,0,11.18,clear sky
149,nalut,LY,2020-12-05 19:18:57,30.33,10.85,63.64,30,0,9.46,clear sky
150,half moon bay,US,2020-12-05 19:18:57,37.46,-122.43,62.01,62,5,6.93,clear sky
151,tuktoyaktuk,CA,2020-12-05 19:18:57,69.45,-133.04,-4.0,83,20,12.75,few clouds
152,srivardhan,IN,2020-12-05 19:18:57,18.03,73.02,74.75,51,0,6.06,clear sky
